Name,Email,Role,HOD Email Relation,Role Task,Priority Assessment Keywords
HOD Islamic Studies,isl.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Islamic Studies academic issues, supervise Islamic Studies instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
HOD Mathematics,mth.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Mathematics academic issues, supervise Mathematics instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
HOD Pakistan Studies,pak.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Pakistan Studies academic issues, supervise Pakistan Studies instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
HOD Physics,phy.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Physics academic issues, supervise Physics instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
HOD Psychology,psy.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Psychology academic issues, supervise Psychology instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
HOD Public Administration,pa.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Public Administration academic issues, supervise Public Administration instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
HOD Sociology,soc.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Sociology academic issues, supervise Sociology instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
HOD Statistics,sta.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Statistics academic issues, supervise Statistics instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
HOD Urdu,urd.hod@vu.edu.pk,HOD,,"Handle serious or unresolved Urdu academic issues, supervise Urdu instructors, review escalated course cases, and make decisions on complex departmental matters.","serious departmental issue, unresolved issue, escalation, complex case, complaint, dispute"
Cs101 Instructor,cs101.instructor@vu.edu.pk,STAFF,cs.hod@vu.edu.pk,"Handle queries specifically related to CS101 (Computer Science) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","CS101, CS101 issue, CS101 query, CS101 assignment, CS101 lecture, CS101 assessment, CS101 exam, CS101 marks"
Cs201 Instructor,cs201.instructor@vu.edu.pk,STAFF,cs.hod@vu.edu.pk,"Handle queries specifically related to CS201 (Computer Science) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","CS201, CS201 issue, CS201 query, CS201 assignment, CS201 lecture, CS201 assessment, CS201 exam, CS201 marks"
Cs301 Instructor,cs301.instructor@vu.edu.pk,STAFF,cs.hod@vu.edu.pk,"Handle queries specifically related to CS301 (Computer Science) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","CS301, CS301 issue, CS301 query, CS301 assignment, CS301 lecture, CS301 assessment, CS301 exam, CS301 marks"
Cs401 Instructor,cs401.instructor@vu.edu.pk,STAFF,cs.hod@vu.edu.pk,"Handle queries specifically related to CS401 (Computer Science) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","CS401, CS401 issue, CS401 query, CS401 assignment, CS401 lecture, CS401 assessment, CS401 exam, CS401 marks"
Cs501 Instructor,cs501.instructor@vu.edu.pk,STAFF,cs.hod@vu.edu.pk,"Handle queries specifically related to CS501 (Computer Science) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","CS501, CS501 issue, CS501 query, CS501 assignment, CS501 lecture, CS501 assessment, CS501 exam, CS501 marks"
Cs601 Instructor,cs601.instructor@vu.edu.pk,STAFF,cs.hod@vu.edu.pk,"Handle queries specifically related to CS601 (Computer Science) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","CS601, CS601 issue, CS601 query, CS601 assignment, CS601 lecture, CS601 assessment, CS601 exam, CS601 marks"
Cs701 Instructor,cs701.instructor@vu.edu.pk,STAFF,cs.hod@vu.edu.pk,"Handle queries specifically related to CS701 (Computer Science) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","CS701, CS701 issue, CS701 query, CS701 assignment, CS701 lecture, CS701 assessment, CS701 exam, CS701 marks"
Mgt101 Instructor,mgt101.instructor@vu.edu.pk,STAFF,mgt.hod@vu.edu.pk,"Handle queries specifically related to MGT101 (Management) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MGT101, MGT101 issue, MGT101 query, MGT101 assignment, MGT101 lecture, MGT101 assessment, MGT101 exam, MGT101 marks"
Mgt201 Instructor,mgt201.instructor@vu.edu.pk,STAFF,mgt.hod@vu.edu.pk,"Handle queries specifically related to MGT201 (Management) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MGT201, MGT201 issue, MGT201 query, MGT201 assignment, MGT201 lecture, MGT201 assessment, MGT201 exam, MGT201 marks"
Mgt301 Instructor,mgt301.instructor@vu.edu.pk,STAFF,mgt.hod@vu.edu.pk,"Handle queries specifically related to MGT301 (Management) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MGT301, MGT301 issue, MGT301 query, MGT301 assignment, MGT301 lecture, MGT301 assessment, MGT301 exam, MGT301 marks"
Mgt401 Instructor,mgt401.instructor@vu.edu.pk,STAFF,mgt.hod@vu.edu.pk,"Handle queries specifically related to MGT401 (Management) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MGT401, MGT401 issue, MGT401 query, MGT401 assignment, MGT401 lecture, MGT401 assessment, MGT401 exam, MGT401 marks"
Mgt501 Instructor,mgt501.instructor@vu.edu.pk,STAFF,mgt.hod@vu.edu.pk,"Handle queries specifically related to MGT501 (Management) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MGT501, MGT501 issue, MGT501 query, MGT501 assignment, MGT501 lecture, MGT501 assessment, MGT501 exam, MGT501 marks"
Mgt601 Instructor,mgt601.instructor@vu.edu.pk,STAFF,mgt.hod@vu.edu.pk,"Handle queries specifically related to MGT601 (Management) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MGT601, MGT601 issue, MGT601 query, MGT601 assignment, MGT601 lecture, MGT601 assessment, MGT601 exam, MGT601 marks"
Mgt701 Instructor,mgt701.instructor@vu.edu.pk,STAFF,mgt.hod@vu.edu.pk,"Handle queries specifically related to MGT701 (Management) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MGT701, MGT701 issue, MGT701 query, MGT701 assignment, MGT701 lecture, MGT701 assessment, MGT701 exam, MGT701 marks"
Eco101 Instructor,eco101.instructor@vu.edu.pk,STAFF,eco.hod@vu.edu.pk,"Handle queries specifically related to ECO101 (Economics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ECO101, ECO101 issue, ECO101 query, ECO101 assignment, ECO101 lecture, ECO101 assessment, ECO101 exam, ECO101 marks"
Eco201 Instructor,eco201.instructor@vu.edu.pk,STAFF,eco.hod@vu.edu.pk,"Handle queries specifically related to ECO201 (Economics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ECO201, ECO201 issue, ECO201 query, ECO201 assignment, ECO201 lecture, ECO201 assessment, ECO201 exam, ECO201 marks"
Eco301 Instructor,eco301.instructor@vu.edu.pk,STAFF,eco.hod@vu.edu.pk,"Handle queries specifically related to ECO301 (Economics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ECO301, ECO301 issue, ECO301 query, ECO301 assignment, ECO301 lecture, ECO301 assessment, ECO301 exam, ECO301 marks"
Eco401 Instructor,eco401.instructor@vu.edu.pk,STAFF,eco.hod@vu.edu.pk,"Handle queries specifically related to ECO401 (Economics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ECO401, ECO401 issue, ECO401 query, ECO401 assignment, ECO401 lecture, ECO401 assessment, ECO401 exam, ECO401 marks"
Eco501 Instructor,eco501.instructor@vu.edu.pk,STAFF,eco.hod@vu.edu.pk,"Handle queries specifically related to ECO501 (Economics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ECO501, ECO501 issue, ECO501 query, ECO501 assignment, ECO501 lecture, ECO501 assessment, ECO501 exam, ECO501 marks"
Eco601 Instructor,eco601.instructor@vu.edu.pk,STAFF,eco.hod@vu.edu.pk,"Handle queries specifically related to ECO601 (Economics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ECO601, ECO601 issue, ECO601 query, ECO601 assignment, ECO601 lecture, ECO601 assessment, ECO601 exam, ECO601 marks"
Eco701 Instructor,eco701.instructor@vu.edu.pk,STAFF,eco.hod@vu.edu.pk,"Handle queries specifically related to ECO701 (Economics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ECO701, ECO701 issue, ECO701 query, ECO701 assignment, ECO701 lecture, ECO701 assessment, ECO701 exam, ECO701 marks"
Edu101 Instructor,edu101.instructor@vu.edu.pk,STAFF,edu.hod@vu.edu.pk,"Handle queries specifically related to EDU101 (Education) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","EDU101, EDU101 issue, EDU101 query, EDU101 assignment, EDU101 lecture, EDU101 assessment, EDU101 exam, EDU101 marks"
Edu201 Instructor,edu201.instructor@vu.edu.pk,STAFF,edu.hod@vu.edu.pk,"Handle queries specifically related to EDU201 (Education) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","EDU201, EDU201 issue, EDU201 query, EDU201 assignment, EDU201 lecture, EDU201 assessment, EDU201 exam, EDU201 marks"
Edu301 Instructor,edu301.instructor@vu.edu.pk,STAFF,edu.hod@vu.edu.pk,"Handle queries specifically related to EDU301 (Education) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","EDU301, EDU301 issue, EDU301 query, EDU301 assignment, EDU301 lecture, EDU301 assessment, EDU301 exam, EDU301 marks"
Edu401 Instructor,edu401.instructor@vu.edu.pk,STAFF,edu.hod@vu.edu.pk,"Handle queries specifically related to EDU401 (Education) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","EDU401, EDU401 issue, EDU401 query, EDU401 assignment, EDU401 lecture, EDU401 assessment, EDU401 exam, EDU401 marks"
Edu501 Instructor,edu501.instructor@vu.edu.pk,STAFF,edu.hod@vu.edu.pk,"Handle queries specifically related to EDU501 (Education) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","EDU501, EDU501 issue, EDU501 query, EDU501 assignment, EDU501 lecture, EDU501 assessment, EDU501 exam, EDU501 marks"
Edu601 Instructor,edu601.instructor@vu.edu.pk,STAFF,edu.hod@vu.edu.pk,"Handle queries specifically related to EDU601 (Education) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","EDU601, EDU601 issue, EDU601 query, EDU601 assignment, EDU601 lecture, EDU601 assessment, EDU601 exam, EDU601 marks"
Edu701 Instructor,edu701.instructor@vu.edu.pk,STAFF,edu.hod@vu.edu.pk,"Handle queries specifically related to EDU701 (Education) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","EDU701, EDU701 issue, EDU701 query, EDU701 assignment, EDU701 lecture, EDU701 assessment, EDU701 exam, EDU701 marks"
Eng101 Instructor,eng101.instructor@vu.edu.pk,STAFF,eng.hod@vu.edu.pk,"Handle queries specifically related to ENG101 (English) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ENG101, ENG101 issue, ENG101 query, ENG101 assignment, ENG101 lecture, ENG101 assessment, ENG101 exam, ENG101 marks"
Eng201 Instructor,eng201.instructor@vu.edu.pk,STAFF,eng.hod@vu.edu.pk,"Handle queries specifically related to ENG201 (English) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ENG201, ENG201 issue, ENG201 query, ENG201 assignment, ENG201 lecture, ENG201 assessment, ENG201 exam, ENG201 marks"
Eng301 Instructor,eng301.instructor@vu.edu.pk,STAFF,eng.hod@vu.edu.pk,"Handle queries specifically related to ENG301 (English) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ENG301, ENG301 issue, ENG301 query, ENG301 assignment, ENG301 lecture, ENG301 assessment, ENG301 exam, ENG301 marks"
Eng401 Instructor,eng401.instructor@vu.edu.pk,STAFF,eng.hod@vu.edu.pk,"Handle queries specifically related to ENG401 (English) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ENG401, ENG401 issue, ENG401 query, ENG401 assignment, ENG401 lecture, ENG401 assessment, ENG401 exam, ENG401 marks"
Eng501 Instructor,eng501.instructor@vu.edu.pk,STAFF,eng.hod@vu.edu.pk,"Handle queries specifically related to ENG501 (English) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ENG501, ENG501 issue, ENG501 query, ENG501 assignment, ENG501 lecture, ENG501 assessment, ENG501 exam, ENG501 marks"
Eng601 Instructor,eng601.instructor@vu.edu.pk,STAFF,eng.hod@vu.edu.pk,"Handle queries specifically related to ENG601 (English) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ENG601, ENG601 issue, ENG601 query, ENG601 assignment, ENG601 lecture, ENG601 assessment, ENG601 exam, ENG601 marks"
Eng701 Instructor,eng701.instructor@vu.edu.pk,STAFF,eng.hod@vu.edu.pk,"Handle queries specifically related to ENG701 (English) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ENG701, ENG701 issue, ENG701 query, ENG701 assignment, ENG701 lecture, ENG701 assessment, ENG701 exam, ENG701 marks"
Mcm101 Instructor,mcm101.instructor@vu.edu.pk,STAFF,masscomm.hod@vu.edu.pk,"Handle queries specifically related to MCM101 (Mass Communication) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MCM101, MCM101 issue, MCM101 query, MCM101 assignment, MCM101 lecture, MCM101 assessment, MCM101 exam, MCM101 marks"
Mcm201 Instructor,mcm201.instructor@vu.edu.pk,STAFF,masscomm.hod@vu.edu.pk,"Handle queries specifically related to MCM201 (Mass Communication) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MCM201, MCM201 issue, MCM201 query, MCM201 assignment, MCM201 lecture, MCM201 assessment, MCM201 exam, MCM201 marks"
Mcm301 Instructor,mcm301.instructor@vu.edu.pk,STAFF,masscomm.hod@vu.edu.pk,"Handle queries specifically related to MCM301 (Mass Communication) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MCM301, MCM301 issue, MCM301 query, MCM301 assignment, MCM301 lecture, MCM301 assessment, MCM301 exam, MCM301 marks"
Mcm401 Instructor,mcm401.instructor@vu.edu.pk,STAFF,masscomm.hod@vu.edu.pk,"Handle queries specifically related to MCM401 (Mass Communication) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MCM401, MCM401 issue, MCM401 query, MCM401 assignment, MCM401 lecture, MCM401 assessment, MCM401 exam, MCM401 marks"
Mcm501 Instructor,mcm501.instructor@vu.edu.pk,STAFF,masscomm.hod@vu.edu.pk,"Handle queries specifically related to MCM501 (Mass Communication) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MCM501, MCM501 issue, MCM501 query, MCM501 assignment, MCM501 lecture, MCM501 assessment, MCM501 exam, MCM501 marks"
Mcm601 Instructor,mcm601.instructor@vu.edu.pk,STAFF,masscomm.hod@vu.edu.pk,"Handle queries specifically related to MCM601 (Mass Communication) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MCM601, MCM601 issue, MCM601 query, MCM601 assignment, MCM601 lecture, MCM601 assessment, MCM601 exam, MCM601 marks"
Mcm701 Instructor,mcm701.instructor@vu.edu.pk,STAFF,masscomm.hod@vu.edu.pk,"Handle queries specifically related to MCM701 (Mass Communication) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MCM701, MCM701 issue, MCM701 query, MCM701 assignment, MCM701 lecture, MCM701 assessment, MCM701 exam, MCM701 marks"
Isl101 Instructor,isl101.instructor@vu.edu.pk,STAFF,isl.hod@vu.edu.pk,"Handle queries specifically related to ISL101 (Islamic Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ISL101, ISL101 issue, ISL101 query, ISL101 assignment, ISL101 lecture, ISL101 assessment, ISL101 exam, ISL101 marks"
Isl201 Instructor,isl201.instructor@vu.edu.pk,STAFF,isl.hod@vu.edu.pk,"Handle queries specifically related to ISL201 (Islamic Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ISL201, ISL201 issue, ISL201 query, ISL201 assignment, ISL201 lecture, ISL201 assessment, ISL201 exam, ISL201 marks"
Isl301 Instructor,isl301.instructor@vu.edu.pk,STAFF,isl.hod@vu.edu.pk,"Handle queries specifically related to ISL301 (Islamic Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ISL301, ISL301 issue, ISL301 query, ISL301 assignment, ISL301 lecture, ISL301 assessment, ISL301 exam, ISL301 marks"
Isl401 Instructor,isl401.instructor@vu.edu.pk,STAFF,isl.hod@vu.edu.pk,"Handle queries specifically related to ISL401 (Islamic Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ISL401, ISL401 issue, ISL401 query, ISL401 assignment, ISL401 lecture, ISL401 assessment, ISL401 exam, ISL401 marks"
Isl501 Instructor,isl501.instructor@vu.edu.pk,STAFF,isl.hod@vu.edu.pk,"Handle queries specifically related to ISL501 (Islamic Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ISL501, ISL501 issue, ISL501 query, ISL501 assignment, ISL501 lecture, ISL501 assessment, ISL501 exam, ISL501 marks"
Isl601 Instructor,isl601.instructor@vu.edu.pk,STAFF,isl.hod@vu.edu.pk,"Handle queries specifically related to ISL601 (Islamic Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ISL601, ISL601 issue, ISL601 query, ISL601 assignment, ISL601 lecture, ISL601 assessment, ISL601 exam, ISL601 marks"
Isl701 Instructor,isl701.instructor@vu.edu.pk,STAFF,isl.hod@vu.edu.pk,"Handle queries specifically related to ISL701 (Islamic Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","ISL701, ISL701 issue, ISL701 query, ISL701 assignment, ISL701 lecture, ISL701 assessment, ISL701 exam, ISL701 marks"
Mth101 Instructor,mth101.instructor@vu.edu.pk,STAFF,mth.hod@vu.edu.pk,"Handle queries specifically related to MTH101 (Mathematics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MTH101, MTH101 issue, MTH101 query, MTH101 assignment, MTH101 lecture, MTH101 assessment, MTH101 exam, MTH101 marks"
Mth201 Instructor,mth201.instructor@vu.edu.pk,STAFF,mth.hod@vu.edu.pk,"Handle queries specifically related to MTH201 (Mathematics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MTH201, MTH201 issue, MTH201 query, MTH201 assignment, MTH201 lecture, MTH201 assessment, MTH201 exam, MTH201 marks"
Mth301 Instructor,mth301.instructor@vu.edu.pk,STAFF,mth.hod@vu.edu.pk,"Handle queries specifically related to MTH301 (Mathematics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MTH301, MTH301 issue, MTH301 query, MTH301 assignment, MTH301 lecture, MTH301 assessment, MTH301 exam, MTH301 marks"
Mth401 Instructor,mth401.instructor@vu.edu.pk,STAFF,mth.hod@vu.edu.pk,"Handle queries specifically related to MTH401 (Mathematics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MTH401, MTH401 issue, MTH401 query, MTH401 assignment, MTH401 lecture, MTH401 assessment, MTH401 exam, MTH401 marks"
Mth501 Instructor,mth501.instructor@vu.edu.pk,STAFF,mth.hod@vu.edu.pk,"Handle queries specifically related to MTH501 (Mathematics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MTH501, MTH501 issue, MTH501 query, MTH501 assignment, MTH501 lecture, MTH501 assessment, MTH501 exam, MTH501 marks"
Mth601 Instructor,mth601.instructor@vu.edu.pk,STAFF,mth.hod@vu.edu.pk,"Handle queries specifically related to MTH601 (Mathematics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MTH601, MTH601 issue, MTH601 query, MTH601 assignment, MTH601 lecture, MTH601 assessment, MTH601 exam, MTH601 marks"
Mth701 Instructor,mth701.instructor@vu.edu.pk,STAFF,mth.hod@vu.edu.pk,"Handle queries specifically related to MTH701 (Mathematics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","MTH701, MTH701 issue, MTH701 query, MTH701 assignment, MTH701 lecture, MTH701 assessment, MTH701 exam, MTH701 marks"
Pak101 Instructor,pak101.instructor@vu.edu.pk,STAFF,pak.hod@vu.edu.pk,"Handle queries specifically related to PAK101 (Pakistan Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAK101, PAK101 issue, PAK101 query, PAK101 assignment, PAK101 lecture, PAK101 assessment, PAK101 exam, PAK101 marks"
Pak201 Instructor,pak201.instructor@vu.edu.pk,STAFF,pak.hod@vu.edu.pk,"Handle queries specifically related to PAK201 (Pakistan Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAK201, PAK201 issue, PAK201 query, PAK201 assignment, PAK201 lecture, PAK201 assessment, PAK201 exam, PAK201 marks"
Pak301 Instructor,pak301.instructor@vu.edu.pk,STAFF,pak.hod@vu.edu.pk,"Handle queries specifically related to PAK301 (Pakistan Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAK301, PAK301 issue, PAK301 query, PAK301 assignment, PAK301 lecture, PAK301 assessment, PAK301 exam, PAK301 marks"
Pak401 Instructor,pak401.instructor@vu.edu.pk,STAFF,pak.hod@vu.edu.pk,"Handle queries specifically related to PAK401 (Pakistan Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAK401, PAK401 issue, PAK401 query, PAK401 assignment, PAK401 lecture, PAK401 assessment, PAK401 exam, PAK401 marks"
Pak501 Instructor,pak501.instructor@vu.edu.pk,STAFF,pak.hod@vu.edu.pk,"Handle queries specifically related to PAK501 (Pakistan Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAK501, PAK501 issue, PAK501 query, PAK501 assignment, PAK501 lecture, PAK501 assessment, PAK501 exam, PAK501 marks"
Pak601 Instructor,pak601.instructor@vu.edu.pk,STAFF,pak.hod@vu.edu.pk,"Handle queries specifically related to PAK601 (Pakistan Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAK601, PAK601 issue, PAK601 query, PAK601 assignment, PAK601 lecture, PAK601 assessment, PAK601 exam, PAK601 marks"
Pak701 Instructor,pak701.instructor@vu.edu.pk,STAFF,pak.hod@vu.edu.pk,"Handle queries specifically related to PAK701 (Pakistan Studies) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PAK701, PAK701 issue, PAK701 query, PAK701 assignment, PAK701 lecture, PAK701 assessment, PAK701 exam, PAK701 marks"
Phy101 Instructor,phy101.instructor@vu.edu.pk,STAFF,phy.hod@vu.edu.pk,"Handle queries specifically related to PHY101 (Physics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PHY101, PHY101 issue, PHY101 query, PHY101 assignment, PHY101 lecture, PHY101 assessment, PHY101 exam, PHY101 marks"
Phy201 Instructor,phy201.instructor@vu.edu.pk,STAFF,phy.hod@vu.edu.pk,"Handle queries specifically related to PHY201 (Physics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PHY201, PHY201 issue, PHY201 query, PHY201 assignment, PHY201 lecture, PHY201 assessment, PHY201 exam, PHY201 marks"
Phy301 Instructor,phy301.instructor@vu.edu.pk,STAFF,phy.hod@vu.edu.pk,"Handle queries specifically related to PHY301 (Physics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PHY301, PHY301 issue, PHY301 query, PHY301 assignment, PHY301 lecture, PHY301 assessment, PHY301 exam, PHY301 marks"
Phy401 Instructor,phy401.instructor@vu.edu.pk,STAFF,phy.hod@vu.edu.pk,"Handle queries specifically related to PHY401 (Physics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PHY401, PHY401 issue, PHY401 query, PHY401 assignment, PHY401 lecture, PHY401 assessment, PHY401 exam, PHY401 marks"
Phy501 Instructor,phy501.instructor@vu.edu.pk,STAFF,phy.hod@vu.edu.pk,"Handle queries specifically related to PHY501 (Physics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PHY501, PHY501 issue, PHY501 query, PHY501 assignment, PHY501 lecture, PHY501 assessment, PHY501 exam, PHY501 marks"
Phy601 Instructor,phy601.instructor@vu.edu.pk,STAFF,phy.hod@vu.edu.pk,"Handle queries specifically related to PHY601 (Physics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PHY601, PHY601 issue, PHY601 query, PHY601 assignment, PHY601 lecture, PHY601 assessment, PHY601 exam, PHY601 marks"
Phy701 Instructor,phy701.instructor@vu.edu.pk,STAFF,phy.hod@vu.edu.pk,"Handle queries specifically related to PHY701 (Physics) only, including course content, assignments, lectures, assessments, and course-specific academic issues.","PHY701, PHY701 issue, PHY701 query, PHY701 assignment, PHY701 lecture, PHY701 assessment, PHY701 exam, PHY701 marks"
